Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2017","2017","ha","35138","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2017","2017","kg/ha","4320.2","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2017","2017","t","151799.85","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2018","2018","ha","40760","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2018","2018","kg/ha","4312.1","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2018","2018","t","175759.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2019","2019","ha","46323","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2019","2019","kg/ha","4317.5","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2019","2019","t","200000","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2020","2020","ha","76491","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2020","2020","kg/ha","4314.3","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2020","2020","t","330000","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2021","2021","ha","95243","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2021","2021","kg/ha","4304.8","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2021","2021","t","410000","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2022","2022","ha","92894","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2022","2022","kg/ha","4306","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2022","2022","t","400000","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2023","2023","ha","87968","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2023","2023","kg/ha","4295.9","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2023","2023","t","377903.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2024","2024","ha","87480","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01312","Bananas","2024","2024","kg/ha","4285.8","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2024","2024","t","374922.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01701","Beans, dry","2017","2017","ha","64756","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","01701","Beans, dry","2017","2017","kg/ha","1213.4","E","Estimated value",""
